#emp_name,no_of_dependents
Adam Fripp,0
Alexander Hunold,1
Alexander Khoo,1
Britney Everett,0
Bruce Ernst,1
Charles Johnson,0
Daniel Faviet,1
David Austin,1
Den Raphaely,1
Diana Lorentz,1
Guy Himuro,1
Hermann Baer,1
Irene Mikkilineni,0
Ismael Sciarra,1
Jack Livingston,0
Jennifer Whalen,1
John Chen,1
John Russell,1
Jonathon Taylor,1
Jose Manuel Urman,1
Karen Colmenares,1
Karen Partners,1
Kimberely Grant,0
Lex De Haan,1
Luis Popp,1
Matthew Weiss,0
Michael Hartstein,1
Nancy Greenberg,1
Neena Kochhar,1
Pat Fay,1
Payam Kaufling,0
Sarah Bell,0
Shanta Vollman,0
Shelley Higgins,1
Shelli Baida,1
Sigal Tobias,1
Steven King,1
Susan Mavris,1
Valli Pataballa,1
William Gietz,1
